POIN,SMT1,SMT2,SMT3,SMT4,SMT5,STATUS,NIS
37,78,79.3,79.1,79.6,81.2,TIDAK,160001
20,84.8,85.8,85.7,86.5,89.9,TIDAK,160002
20,82.5,83.9,84.6,85.3,86.5,TIDAK,160003
32,85.6,88.1,89.2,89.3,91.4,TIDAK,160004
25,81.3,84.1,84.7,85.1,87.7,TIDAK,160005
54,80.4,83.3,83.9,84.3,86.3,TIDAK,160006
22,80.8,83.6,84.2,84.7,84.5,TIDAK,160007
5,77.4,79,79.4,78.9,81.5,TIDAK,160008
10,78.4,81.1,81.5,82.6,84.8,TIDAK,160010
22,79.8,81.5,81.5,80.5,84.3,TIDAK,160011
64,79.1,80.6,80.2,79.3,81.5,TIDAK,160012
78,80.6,82.4,82.8,83,85.6,TIDAK,160013
15,78.8,81,81.6,81.7,83,TIDAK,160014
5,83.3,85.6,85.9,86.8,89.7,TIDAK,160016
5,79.8,81.9,81.6,80.7,83.5,TIDAK,160017
22,79,80.9,80.8,81,83.2,TIDAK,160018
20,79.4,81.1,80.9,81.4,84.4,TIDAK,160019
10,78.8,81.6,81.7,81.6,80.7,TIDAK,160020
0,78.3,80.6,81.1,82.5,84.1,TIDAK,160021
15,81.6,83.4,83.7,82.5,85.7,TIDAK,160022
25,81.9,83.7,83.7,83.7,84.9,TIDAK,160023
56,79.5,81.1,82.4,84.1,85.7,TIDAK,160024
35,79.6,80.9,81.7,81.8,84.1,TIDAK,160025
22,83.9,85.8,86.9,87.3,88.3,TIDAK,160026
20,80.3,80.6,80.3,79.7,81.5,TIDAK,160027
10,80.9,82.6,82.9,84.1,84.2,TIDAK,160030
17,80.8,82.4,83.8,84.8,84.9,TIDAK,160031
20,77.3,78.3,78.2,77,90.3,TIDAK,160044
0,78.2,81.2,81.9,83.4,83.3,TIDAK,160045
45,84.5,86.5,86.5,87.7,89.3,TIDAK,160046
64,84.4,85.9,87.1,87.9,89.9,TIDAK,160047
0,78.9,81.7,81.9,83.5,83.9,TIDAK,160048
32,79.7,80.9,81.4,81.6,82.7,TIDAK,160049
0,77.5,79.9,80.7,80.7,82,TIDAK,160050
0,77.8,80.1,80.7,81.8,83.1,TIDAK,160051
10,81.3,82.8,83.5,84.4,85,TIDAK,160052
22,82.7,85.4,87.1,87.9,77.4,TIDAK,160053
5,78.5,79.8,80.3,79.7,81.7,TIDAK,160054
10,81.4,83.4,83.9,84.6,87.1,TIDAK,160055
10,78.3,80.6,81.3,82.1,83.7,TIDAK,160057
10,81.2,82.2,82.9,84.3,86.9,TIDAK,160058
5,82.6,85.3,87.1,88.8,90.4,TIDAK,160059
5,86.6,87.8,88.9,90.6,91.9,TIDAK,160060
112,77.4,78,79.3,78.8,79.7,BERPRESTASI,160028
40,81.5,83.9,86.2,87.3,89.4,TIDAK,160062
20,83.3,84.4,85.8,85.9,86.3,TIDAK,160063
20,80.1,81.5,82.3,82.9,84.9,TIDAK,160064
30,83.4,85.2,86.6,88.5,90.1,TIDAK,160065
32,82.5,83.6,85.2,85.9,88,TIDAK,160066
10,78.7,80.8,81.1,84,85.8,TIDAK,160067
20,83.4,85.6,87.5,89.3,91.1,TIDAK,160068
75,82.6,85.4,87.7,89.3,91,TIDAK,160069
95,77.3,78.6,79,78.5,79,TIDAK,160071
25,79.2,81.1,81.3,82.4,85.8,TIDAK,160072
79,79.2,80.6,81.6,80.5,80.7,TIDAK,160073
5,82.1,84.1,86.5,87.9,89.2,TIDAK,160074
5,80.3,80.9,81.7,84.5,86.7,TIDAK,160075
10,80.3,82,82.8,84.9,85.9,TIDAK,160077
20,83.9,84.1,84.5,85.5,88.1,TIDAK,160078
20,80.8,83.3,85.5,87.1,88.9,TIDAK,160080
36,80.8,81.3,82.4,82.9,85.9,TIDAK,160081
100,79.4,80.2,81.7,82.6,85.1,BERPRESTASI,160082
5,84.7,86.4,86.7,88.2,90.5,TIDAK,160084
19,81.6,82.6,82.9,84.6,86,TIDAK,160085
5,79.8,81.2,82.2,82.2,83.9,TIDAK,160086
5,85.1,86.2,88,89.4,91.9,TIDAK,160087
27,80,81.1,81.3,82.5,84.9,TIDAK,160088
5,77.8,78.6,79.9,80.9,83,TIDAK,160089
0,82.2,82.8,83.3,83.7,85.9,TIDAK,160090
10,77.6,79.3,80.1,81.1,82.1,TIDAK,160091
5,78.8,80.3,79.3,78.2,78.7,TIDAK,160092
5,83.1,83.9,84.3,85.6,87.4,TIDAK,160093
34,79.2,79.5,80.5,80.8,82.8,TIDAK,160094
0,80.1,81.8,82.9,83.4,85.9,TIDAK,160095
5,78.8,80.8,80.3,80.2,83.3,TIDAK,160096
34,78.3,78.4,79.7,81.3,83.3,TIDAK,160097
5,78.4,80.4,80.9,82.5,84.9,TIDAK,160098
58,77.9,78.5,78.5,79.3,80.7,TIDAK,160099
81,79.5,80.1,80.5,80.8,82.8,TIDAK,160100
12,84.3,84.9,85.5,86.9,89.6,TIDAK,160102
17,78.3,79.7,80.3,80.7,80.9,TIDAK,160103
10,78.3,80.4,80.4,81.3,83.3,TIDAK,160104
0,80.9,82.6,83.9,85.5,87,TIDAK,160105
0,81.4,82.8,83.2,84.3,86.4,TIDAK,160106
5,80.6,81.9,82.3,83.1,85.3,TIDAK,160107
7,78.1,78.2,78.7,79.2,81.9,TIDAK,160108
0,77.8,78.3,79.5,81.6,84.1,TIDAK,160109
0,80.4,81.7,82.7,84,87.4,TIDAK,160111
60,79.8,80.3,81.5,81.6,82.8,TIDAK,160112
5,81.1,82.8,83.5,84,86.7,TIDAK,160113
0,80,81.5,82,82.5,84.5,TIDAK,160114
43,79.2,81.9,84.1,85.1,87.3,TIDAK,160115
43,80.4,81.6,82.7,82.9,84.5,TIDAK,160116
0,80.7,81.5,83.1,84.1,86.1,TIDAK,160118
12,82.4,84,85.6,86.5,89.2,TIDAK,160119
0,79.8,81.4,82.9,83.7,85.7,TIDAK,160120
0,81.8,84.2,85.5,87.3,90.1,TIDAK,160121
0,78.9,81.5,81.8,81.8,84.4,TIDAK,160122
5,79.2,79.1,80.4,80.7,83.2,TIDAK,160123
0,80.3,82.3,83.5,85.1,87.5,TIDAK,160126
0,80.1,81.3,83.3,84,85.5,TIDAK,160127
7,78.3,79.2,80,79.9,82.5,TIDAK,160128
17,79.3,79.5,81,82,84.1,TIDAK,160130
7,80.5,82.4,85,85.9,88.8,TIDAK,160131
7,84.2,86.3,87.7,88.9,91.6,TIDAK,160132
10,82.1,82.8,83.9,83.9,85.8,TIDAK,160133
20,77.9,78.9,79.8,79.7,80.7,TIDAK,160134
0,77.3,78.9,79.4,80.3,81.1,TIDAK,160135
20,82.1,83.4,84.1,85.5,84.6,TIDAK,160136
73,81.4,83.9,84.8,86.3,87,TIDAK,160137
5,77.3,79.1,79.5,80.3,81.3,TIDAK,160138
0,81.1,83.6,84.8,86.3,87.3,TIDAK,160139
44,83.3,84.1,86.1,87.1,89,TIDAK,160140
10,82.3,83.9,86,86.5,89.3,TIDAK,160141
5,79.5,80.4,81.8,83.4,83.9,TIDAK,160142
10,80.1,82,82.5,84.1,83.9,TIDAK,160143
0,77.6,78.1,78.9,79.7,80.1,TIDAK,160144
5,78.4,80.4,80.9,81.1,82.3,TIDAK,160145
101,82,82.2,83.1,83.2,84.3,BERPRESTASI,160146
20,77.6,78.3,78.3,78.4,79.8,TIDAK,160147
42,83.9,85.5,86.4,87.6,87.9,TIDAK,160148
25,81.7,84.1,85.3,86.1,87.3,TIDAK,160149
22,82.8,85.7,87,87.9,90.5,TIDAK,160150
0,80.6,82.2,82.7,83.9,83.7,TIDAK,160151
25,81.4,83.3,85.1,86.4,88.5,TIDAK,160152
0,77.5,79.8,80,79.1,80.6,TIDAK,160153
10,81.3,83.6,84.3,85.7,87.7,TIDAK,160154
12,78.9,81,83.1,84.3,84.8,TIDAK,160155
0,80.1,80.8,81.9,82.7,82.7,TIDAK,160157
5,80.3,83.3,85.5,87,89.4,TIDAK,160158
